Timestamp;NIM;Apa jurusan Anda?;Jenis AI apa yang paling sering Anda gunakan dalam kegiatan perkuliahan?;Berapa frekuensi penggunaan AI dalam sehari?;Berapa skala ketergantungan penggunaan AI di perkuliahan Anda? (1 = Sangat Tidak Setuju, 4 = Sangat Setuju);Seberapa penting penggunaan AI membantu Anda memahami materi perkuliahan?   (1 = Sangat Tidak Setuju, 4 = Sangat Setuju);Apakah penggunaan AI meningkatkan nilai akademis Anda di perkuliahan?  (1 = Sangat Tidak Setuju, 4 = Sangat Setuju);Seberapa penting AI membantu dalam pembuatan proyek tugas akhir Anda di perkuliahan?;Apakah Anda pernah mengikuti lomba?;Jika ya, apa peran AI dalam membantu proyek lomba Anda?;Rentang IPK Anda:
5/31/2024 12:18:02;2602158355;Computer Science;Chatbot (seperti ChatGPT);Sering;4;4;3;3;Tidak;;3.0 - 3.5
5/31/2024 12:21:13;2602187720;Interactive Design and Technology ;Chatbot (seperti ChatGPT);Sangat sering;3;3;3;3;Ya;Membantu dalam penelitian, Membantu dalam analisis data, Membantu dalam presentasi;3.5 - 4.0
5/31/2024 12:22:15;2602056832;Computer Science ;Chatbot (seperti ChatGPT);Kadang kadang;2;4;3;3;Ya;Membantu dalam penelitian;3.0 - 3.5
5/31/2024 12:23:11;2602202141;Computer Science ;Chatbot (seperti ChatGPT);Kadang kadang;2;3;2;3;Tidak;;3.0 - 3.5
5/31/2024 12:28:44;2602104333;Computer Science;Chatbot (seperti ChatGPT);Sering;3;4;3;3;Ya;Mencari ide ;3.5 - 4.0
5/31/2024 12:52:17;2602080176;Digital Business Innovation;Chatbot (seperti ChatGPT);Sering;3;3;3;3;Ya;Membantu dalam penelitian;3.5 - 4.0
5/31/2024 13:05:35;2602076784;computer Science ;Chatbot (seperti ChatGPT);Sering;3;3;3;4;Tidak;;3.5 - 4.0
5/31/2024 16:22:32;2702355574;Computer Science;Chatbot (seperti ChatGPT);Sering;2;3;3;3;Ya;Membantu dalam analisis data;3.5 - 4.0
5/31/2024 21:37:52;2602096306;Computer Science;Chatbot (seperti ChatGPT);Sangat sering;4;4;4;4;Ya;Membantu dalam penelitian, Membantu dalam analisis data;3.5 - 4.0
6/1/2024 0:29:21;2702228223;Computer Science;Chatbot (seperti ChatGPT);Sering;3;3;3;3;Ya;Membantu dalam analisis data, Membantu dalam presentasi;3.5 - 4.0
6/1/2024 13:17:52;2602158323;Computer Science;Chatbot (seperti ChatGPT);Sering;3;3;3;4;Ya;Membantu dalam penelitian, Membantu dalam analisis data, Membantu dalam presentasi;3.5 - 4.0
6/1/2024 16:02:30;2602178975;Interactive Design and Technology;Chatbot (seperti ChatGPT);Sering;3;4;3;3;Ya;Membantu dalam penelitian, Membantu dalam analisis data;3.5 - 4.0
6/2/2024 19:47:44;2602104125;Computer science ;Gemini ai;Kadang kadang;4;4;3;4;Ya;Tidak ada peran;3.0 - 3.5
6/2/2024 20:20:52;2602096230;Computer Science;Chatbot (seperti ChatGPT);Kadang kadang;2;1;1;2;Tidak;;3.0 - 3.5
6/2/2024 20:22:42;2602104333;Computer Science ;Chatbot (seperti ChatGPT);Sering;3;4;3;4;Ya;Membantu dalam penelitian, Mencari ide;3.5 - 4.0
6/2/2024 20:31:41;2602075812;Computer Science;Chatbot (seperti ChatGPT);Sering;3;4;4;3;Ya;Membantu dalam penelitian;3.5 - 4.0
6/2/2024 20:41:49;2602086186;DKV;Chatbot (seperti ChatGPT);Kadang kadang;3;3;3;3;Tidak;;3.0 - 3.5
6/3/2024 9:54:25;2602090504;Computer Science;Chatbot (seperti ChatGPT);Kadang kadang;3;3;3;3;Tidak;;3.0 - 3.5
6/3/2024 10:55:42;2602135105;DKV;Chatbot (seperti ChatGPT);Sering;3;2;3;3;Tidak;;2.5 - 3.0
6/3/2024 11:07:17;2602090605;Computer Science;Chatbot (seperti ChatGPT);Sangat sering;4;4;3;4;Ya;Membantu dalam penelitian, Membantu dalam analisis data;3.5 - 4.0
6/3/2024 13:32:04;2602080106;DKV;Chatbot (seperti ChatGPT);Sering;3;3;3;3;Tidak;;3.0 - 3.5
6/3/2024 19:34:30;2602056845;Computer Science ;Chatbot (seperti ChatGPT);Sering;3;4;3;3;Ya;Membantu dalam penelitian, Membantu dalam analisis data;3.0 - 3.5
6/3/2024 20:35:48;2602096243;Computer Science;Chatbot (seperti ChatGPT);Kadang kadang;2;2;2;3;Tidak;;3.0 - 3.5
6/3/2024 20:39:35;2602178861;Computee Science;Chatbot (seperti ChatGPT);Sangat sering;3;3;3;4;Tidak;;3.5 - 4.0
6/4/2024 14:57:35;2602196611;Computer Science;Chatbot (seperti ChatGPT);Sering;2;4;4;3;Ya;Membantu dalam penelitian;3.0 - 3.5
6/5/2024 11:18:45;2602157705;Computer Science;Chatbot (seperti ChatGPT);Sangat jarang;2;4;3;4;Ya;Membantu dalam analisis data;3.5 - 4.0
6/5/2024 22:37:02;2602055685;Computer Science;Chatbot (seperti ChatGPT);Sering;3;3;4;3;Tidak;;3.5 - 4.0
6/8/2024 1:44:43;2602064153;Computer Science;Chatbot (seperti ChatGPT);Sangat sering;4;4;2;3;Ya;Membantu dalam presentasi;3.5 - 4.0
6/8/2024 23:08:35;2602187254;Creativepreneurship;Chatbot (seperti ChatGPT);Sering;3;4;3;3;Tidak;;3.5 - 4.0
6/8/2024 13:59:49;2602187720;Interactive Design Technology;Chatbot (seperti ChatGPT);Sering;3;3;3;3;Ya;Membantu dalam penelitian, Membantu dalam analisis data, Membantu dalam presentasi;3.5 - 4.0
6/9/2024 14:12:43;2602054713;Computer Science;Chatbot (seperti ChatGPT);Kadang kadang;2;2;3;3;Ya;Tidak ada peran;3.5 - 4.0
6/9/2024 14:49:24;2602208183;Interactive Design Technology;Chatbot (seperti ChatGPT);Sering;4;4;4;4;Ya;Tidak ada peran, Membantu dalam penelitian, Membantu dalam analisis data, Membantu dalam presentasi;3.0 - 3.5
6/9/2024 18:36:34;2602160510;Computer Science;Chatbot (seperti ChatGPT);Sering;3;3;2;3;Tidak;;3.5 - 4.0
6/9/2024 8:03:34;2602185034;Creativepreneurship;Chatbot (seperti ChatGPT);Kadang kadang;2;1;1;2;Ya;Tidak ada peran;3.0 - 3.5
6/9/2024 8:08:27;2602101956;Design Komunikasi Visual;Chatbot (seperti ChatGPT);Sering;4;4;4;4;Tidak;;3.5 - 4.0
6/9/2024 8:09:59;2602129336;Creativepreneurship;Chatbot (seperti ChatGPT);Kadang kadang;2;1;2;1;Ya;Tidak ada peran;3.5 - 4.0
6/9/2024 9:10:06;2602090662;Design Komunikasi Visual;Chatbot (seperti ChatGPT);Sering;4;4;4;4;Tidak;;3.5 - 4.0
6/9/2024 9:15:59;2602081916;Creativepreneurship;Chatbot (seperti ChatGPT);Sering;2;2;2;2;Ya;Tidak ada peran;3.5 - 4.0
6/9/2024 8:11:08;2602101956;Design Komunikasi Visual;Chatbot (seperti ChatGPT);Kadang kadang;2;2;2;2;Tidak;;3.0 - 3.5
6/9/2024 8:20:53;2602138076;Creativepreneurship;Chatbot (seperti ChatGPT);Sering;1;1;2;2;Tidak;;3.0 - 3.5
6/9/2024 10:12:35;2602114731;Creativepreneurship;Chatbot (seperti ChatGPT);Kadang kadang;1;1;1;2;Tidak;;3.5 - 4.0
6/9/2024 12:15:49;2602090536;Design Komunikasi Visual;Chatbot (seperti ChatGPT);Sering;3;3;4;2;Tidak;;3.5 - 4.0
6/9/2024 12:20:19;2602208145;Creativepreneurship;Chatbot (seperti ChatGPT);Kadang kadang;1;2;1;2;Tidak;;3.0 - 3.5
6/9/2024 13:14:05;2602090542;Design Komunikasi Visual;Chatbot (seperti ChatGPT);Kadang kadang;2;3;2;1;Tidak;;3.5 - 4.0
6/9/2024 13:25:06;2602164692;Creativepreneurship;Chatbot (seperti ChatGPT);Sering;2;3;2;2;Tidak;;3.5 - 4.0
6/9/2024 13:35:35;2602150213;Computer Science;Chatbot (seperti ChatGPT);Sangat sering;3;4;4;4;Tidak;;2.5 - 3.0
6/9/2024 14:14:36;2602207413;Creativepreneurship;Chatbot (seperti ChatGPT);Sangat jarang;1;1;1;1;Ya;Tidak ada peran;3.5 - 4.0
6/9/2024 15:15:05;2602083064;Design Komunikasi Visual;Alat pembelajaran (seperti Duolingo);Kadang kadang;3;3;3;2;Tidak;;3.0 - 3.5
6/9/2024 20:15:09;2602207426;Creativepreneurship;Chatbot (seperti ChatGPT);Sering;1;1;1;2;Tidak;;3.0 - 3.5
6/9/2024 21:15:45;2602108060;Computer Science;Chatbot (seperti ChatGPT);Sering;3;3;4;4;Ya;Membantu dalam penelitian, Membantu dalam presentasi;3.0 - 3.5
6/9/2024 22:15:56;2602228260;Design Komunikasi Visual;Chatbot (seperti ChatGPT);Sering;3;3;3;2;Tidak;;3.5 - 4.0
6/9/2024 22:20:56;2602192166;Creativepreneurship;Chatbot (seperti ChatGPT);Kadang kadang;2;2;2;2;Ya;Tidak ada peran;3.5 - 4.0
6/9/2024 22:30:24;2602119865;Creativepreneurship;Chatbot (seperti ChatGPT);Kadang kadang;2;2;2;2;Tidak;;3.0 - 3.5
6/10/2024 7:17:03;2602110683;Creativepreneurship;Chatbot (seperti ChatGPT);Sering;2;3;2;3;Tidak;;3.0 - 3.5
6/10/2024 8:17:14;2602119884;Computer Science;Chatbot (seperti ChatGPT);Sering;2;3;4;4;Ya;Membantu dalam analisis data;3.5 - 4.0
6/10/2024 8:19:48;2602072016;Design Komunikasi Visual;Chatbot (seperti ChatGPT);Kadang kadang;3;3;3;2;Tidak;;1.0 - 2.0
6/10/2024 9:17:55;2602156551;Creativepreneurship;Chatbot (seperti ChatGPT);Kadang kadang;2;2;2;2;Tidak;;3.5 - 4.0
6/10/2024 10:18:33;2602099440;Creativepreneurship;Chatbot (seperti ChatGPT);Sering;2;3;3;3;Tidak;;3.5 - 4.0
6/10/2024 10:29:02;2602187216;Design Komunikasi Visual;Chatbot (seperti ChatGPT);Kadang kadang;3;3;4;2;Ya;Membantu dalam presentasi;3.0 - 3.5
6/10/2024 10:49:06;2602076626;Creativepreneurship;Chatbot (seperti ChatGPT);Sering;2;3;3;3;Tidak;;3.0 - 3.5
6/10/2024 11:20:10;2602098362;Design Komunikasi Visual;Chatbot (seperti ChatGPT);Kadang kadang;3;3;2;2;Tidak;;2.5 - 3.0
6/10/2024 12:21:04;2602096224;Design Komunikasi Visual;Chatbot (seperti ChatGPT);Sering;4;3;3;2;Tidak;;3.0 - 3.5
6/10/2024 12:41:56;2602183211;Design Komunikasi Visual;Chatbot (seperti ChatGPT);Kadang kadang;2;2;2;1;Tidak;;2.5 - 3.0
6/10/2024 12:57:45;2602154735;Computer Science;Chatbot (Gemini AI);Sering;4;3;4;3;Tidak;;3.0 - 3.5
6/10/2024 13:34:40;2602100833;Design Komunikasi Visual;Chatbot (seperti ChatGPT);Kadang kadang;4;3;3;1;Tidak;;2.5 - 3.0
6/10/2024 13:45:21;2602228576;Computer Science;Chatbot (seperti ChatGPT);Sangat sering;4;2;4;3;Tidak;;2.5 - 3.0
6/10/2024 14:45:49;2602150232;Design Komunikasi Visual;Chatbot (seperti ChatGPT);Kadang kadang;3;3;3;3;Tidak;;3.0 - 3.5
6/10/2024 14:56:54;2602096325;Design Komunikasi Visual;Chatbot (seperti ChatGPT);Kadang kadang;3;3;3;3;Tidak;;3.0 - 3.5
6/10/2024 18:27:42;2602183060;Design Komunikasi Visual;Chatbot (seperti ChatGPT);Kadang kadang;3;3;3;2;Tidak;;3.0 - 3.5
6/10/2024 18:48:12;2602088771;Design Komunikasi Visual;Chatbot (seperti ChatGPT);Kadang kadang;3;3;3;3;Ya;Membantu dalam presentasi;3.5 - 4.0
6/10/2024 19:30:40;2602108054;Computer Science;Chatbot (seperti ChatGPT);Sering;3;3;4;4;Tidak;;3.0 - 3.5
6/10/2024 20:32:05;2602158304;Computer Science;Chatbot (Gamini AI);Sering;4;3;3;3;Tidak;;3.0 - 3.5
6/10/2024 21:35:23;2602204582;Computer Science;Chatbot (seperti ChatGPT);Sering;3;3;4;3;Ya;Membantu dalam penelitian, Membantu mencari ide;3.0 - 3.5
6/10/2024 21:39:27;2602175046;Computer Science;Chatbot (seperti ChatGPT);Sangat sering;4;2;3;4;Tidak;;2.5 - 3.0
6/10/2024 21:48:59;2602132103;Computer Science;Chatbot (seperti ChatGPT);Sering;4;3;4;2;Tidak;;3.5 - 4.0
6/10/2024 21:57:25;2602201201;Computer Science;Chatbot (Gemini AI);Sering;3;2;4;3;Tidak;;2.5 - 3.0
6/11/2024 8:48:32;2602134683;Computer Science;Chatbot (seperti ChatGPT);Sangat sering;3;2;4;3;Tidak;;2.5 - 3.0
6/11/2024 8:57:23;2602106282;Digital Bussines Inovation;Chatbot (seperti ChatGPT);Kadang kadang;3;2;3;3;Tidak;;3.0 - 3.5
6/11/2024 9:58:17;2602090643;Digital Bussines Inovation;Alat analisis data (seperti TensorFlow);Sering;3;3;3;3;Ya;Membantu dalam analisis data;3.0 - 3.5
6/11/2024 10:59:05;2602178395;Digital Bussines Inovation;Chatbot (seperti ChatGPT);Kadang kadang;2;2;2;2;Tidak;;2.5 - 3.0
6/11/2024 12:00:40;2602183142;Digital Bussines Inovation;Chatbot (seperti ChatGPT);Sering;3;3;2;3;Tidak;;3.0 - 3.5
6/11/2024 12:22:10;2602153291;Digital Bussines Inovation;Chatbot (seperti ChatGPT);Sering;4;4;4;3;Tidak;;3.0 - 3.5
6/11/2024 14:02:46;2602187260;Digital Bussines Inovation;Chatbot (seperti ChatGPT);Sangat jarang;1;1;1;1;Tidak;;3.0 - 3.5
6/11/2024 15:34:59;2602142703;Digital Bussines Inovation;Chatbot (seperti ChatGPT);Kadang kadang;2;2;2;2;Tidak;;2.5 - 3.0
6/11/2024 16:04:52;2602175090;Digital Bussines Inovation;Chatbot (seperti ChatGPT);Sering;3;3;3;3;Tidak;;3.0 - 3.5
6/11/2024 18:06:13;2602153436;Digital Bussines Inovation;Chatbot (seperti ChatGPT);Kadang kadang;3;3;2;3;Tidak;;2.5 - 3.0
6/11/2024 19:06:58;2602138170;Digital Bussines Inovation;Chatbot (seperti ChatGPT);Sangat jarang;1;1;1;2;Tidak;;2.5 - 3.0
6/11/2024 19:37:43;2602164521;Digital Bussines Inovation;Chatbot (seperti ChatGPT);Sangat jarang;1;1;1;2;Tidak;;3.0 - 3.5
6/11/2024 20:08:45;2602131750;Digital Bussines Inovation;Chatbot (seperti ChatGPT);Kadang kadang;2;1;3;3;Tidak;;2.5 - 3.0
6/11/2024 20:29:46;2602138050;Digital Bussines Inovation;Chatbot (seperti ChatGPT);Sangat jarang;1;1;1;3;Tidak;;3.0 - 3.5
6/11/2024 20:45:25;2602139072;Digital Bussines Inovation;Chatbot (seperti ChatGPT);Sangat sering;3;3;4;4;Tidak;;3.0 - 3.5
6/11/2024 20:56:01;2602178395;Digital Bussines Inovation;Chatbot (seperti ChatGPT);Kadang kadang;2;2;2;3;Tidak;;3.0 - 3.5
6/11/2024 20:59:49;2602156601;Digital Bussines Inovation;Chatbot (seperti ChatGPT);Sering;3;2;2;3;Tidak;;3.5 - 4.0
6/12/2024 5:15:42;2602139324;Digital Bussines Inovation;Chatbot (seperti ChatGPT);Kadang kadang;2;2;3;3;Tidak;;3.5 - 4.0
6/12/2024 7:11:57;2602104144;Interactive Design Technology;Chatbot (seperti ChatGPT);Kadang kadang;2;3;2;2;Tidak;;3.0 - 3.5
6/12/2024 7:15:08;2602081166;Interactive Design Technology;Chatbot (seperti ChatGPT);Kadang kadang;2;2;2;1;Ya;Tidak ada peran;3.5 - 4.0
6/12/2024 7:45:56;2602181502;Interactive Design Technology;Chatbot (seperti ChatGPT);Sering;3;4;3;3;Ya;Membantu dalam penelitian, Membantu dalam presentasi;3.5 - 4.0
6/12/2024 8:26:15;2602104270;Design Interior;Chatbot (seperti ChatGPT);Sering;3;2;2;2;Tidak;;3.0 - 3.5
6/12/2024 8:59:30;2602187153;Design Interior;Chatbot (seperti ChatGPT);Kadang kadang;2;1;1;2;Tidak;;2.5 - 3.0
6/12/2024 9:28:27;2602096193;Design Interior;Chatbot (seperti ChatGPT);Sangat jarang;1;1;1;1;Tidak;;3.0 - 3.5
6/12/2024 9:59:03;2602080245;Design Interior;Chatbot (seperti ChatGPT);Kadang kadang;2;1;2;2;Tidak;;3.0 - 3.5
6/12/2024 10:39:53;2602091362;Design Interior;Chatbot (seperti ChatGPT);Sering;3;3;3;3;Tidak;;2.5 - 3.0
